EdgeID,Highway
76511,residential
76567,tertiary
76569,tertiary
76570,tertiary
76571,tertiary
76572,tertiary
76573,tertiary
76574,tertiary
76575,tertiary
76576,tertiary
76577,tertiary
76584,unclassified
76587,residential
76588,residential
76589,residential
76590,residential
76591,residential
76592,residential
76662,service
77809,residential
77811,residential
77824,residential
77840,residential
77841,residential
77845,residential
78181,tertiary
78182,tertiary
78184,tertiary
78185,tertiary
78186,tertiary
78187,tertiary
78188,secondary
78189,secondary
78190,secondary
78339,track
78340,track
78341,track
78342,track
78438,tertiary
78439,tertiary
78440,tertiary
78447,residential
78452,residential
78453,residential
79695,residential
79697,tertiary
79698,tertiary
79699,tertiary
79747,residential
79748,residential
79749,residential
79750,residential
80158,living_street
80159,living_street
81155,motorway_link
81632,tertiary
81633,tertiary
81634,tertiary
81639,tertiary
81640,tertiary
81649,primary
81650,primary
81651,primary
81652,primary
81653,primary
81655,residential
81656,residential
81660,residential
81925,residential
81926,residential
81927,residential
81933,residential
81934,residential
81935,residential
81940,residential
81941,residential
81942,tertiary
81943,tertiary
81958,residential
82566,tertiary
82570,residential
82576,residential
82577,residential
82578,residential
82579,residential
82580,residential
82581,residential
82798,residential
82799,secondary
82800,secondary
82801,secondary
82803,residential
82804,residential
82812,residential
82813,residential
82814,service
82822,motorway_link
82827,tertiary
82829,tertiary
82843,secondary
82933,tertiary
82934,tertiary
82943,tertiary
82944,tertiary
82953,motorway_link
83140,residential
83141,tertiary
83146,secondary
83147,secondary
83160,residential
83173,residential
83174,residential
83175,residential
83185,residential
83187,residential
83188,residential
83189,residential
83191,primary
83192,primary
83193,primary
83194,primary
83202,secondary
84537,service
84541,residential
84544,residential
84545,residential
84546,tertiary
84547,tertiary
84549,tertiary
84550,tertiary
84551,tertiary
84552,tertiary
84553,tertiary
84554,tertiary
84555,tertiary
84558,residential
84590,unclassified
84591,unclassified
84592,unclassified
84593,unclassified
84687,residential
84688,residential
84689,residential
84737,secondary
84738,secondary
84739,secondary
84740,secondary
84741,secondary
84742,secondary
84743,secondary
84744,secondary
84948,residential
84954,residential
85089,tertiary
85827,service
85828,unclassified
85829,service
85830,service
85831,residential
85832,residential
85833,residential
85834,residential
85835,residential
85836,residential
85837,tertiary
85838,tertiary
85839,secondary
85840,tertiary
85841,tertiary
85842,tertiary
85843,tertiary
85844,tertiary
85845,tertiary
85846,tertiary
85847,residential
85848,tertiary
85849,primary
86883,primary
86884,secondary
86885,residential
86887,residential
86888,residential
86889,residential
86890,residential
86893,residential
86894,residential
86898,motorway_link
86902,residential
86903,residential
86904,residential
86905,residential
86906,primary
86907,primary
86908,primary
86911,residential
86912,residential
86915,tertiary
86916,tertiary
86917,tertiary
86918,tertiary
86919,tertiary
86920,tertiary
86921,tertiary
86922,tertiary
86923,tertiary
86924,tertiary
86925,tertiary
